Aeroporto de Origem Designador OACI;Nome/UF/País Origem;Aeroporto de Destino Designador OACI;Nome/UF/País Destino;Etapas Previstas;% de Cancelamentos;% de Atrasos Superiores a 30 min;% de Atrasos Superiores a 60 min
SBRB;PLÁCIDO DE CASTRO(AC, BRASIL);SBCZ;CRUZEIRO DO SUL(AC, BRASIL);17;0;0;0
SBRB;PLÁCIDO DE CASTRO(AC, BRASIL);SBGR;GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL);27;0;0;0
SBRD;RONDONÓPOLIS(MT, BRASIL);SBKP;VIRACOPOS(SP, BRASIL);11;0;0;0
SBRF;GUARARAPES - GILBERTO FREYRE(PE, BRASIL);LPPT;LISBOA(, PORTUGAL);9;33,33;0;0
SBRF;GUARARAPES - GILBERTO FREYRE(PE, BRASIL);SBAR;SANTA MARIA(SE, BRASIL);99;0;3,03;1,01
SBRF;GUARARAPES - GILBERTO FREYRE(PE, BRASIL);SBBE;INTERNACIONAL DE BELÉM/VAL DE CANS/JÚLIO CEZAR RIBEIRO(PA, BRASIL);57;0;5,26;0
SBRF;GUARARAPES - GILBERTO FREYRE(PE, BRASIL);SBBR;PRESIDENTE JUSCELINO KUBITSCHEK(DF, BRASIL);80;2,5;0;0
SBRF;GUARARAPES - GILBERTO FREYRE(PE, BRASIL);SBCF;TANCREDO NEVES(MG, BRASIL);110;5,45;0;0
SBRF;GUARARAPES - GILBERTO FREYRE(PE, BRASIL);SBFN;FERNANDO DE NORONHA(PE, BRASIL);63;1,59;3,23;0
SBRF;GUARARAPES - GILBERTO FREYRE(PE, BRASIL);SBFZ;PINTO MARTINS(CE, BRASIL);127;0;4,72;0,79
SBRF;GUARARAPES - GILBERTO FREYRE(PE, BRASIL);SBGL;AEROPORTO INTERNACIONAL DO RIO DE JANEIRO (GALEÃO) - ANTONIO CARLOS JOBIM(RJ, BRASIL);21;4,76;0;0
SBRF;GUARARAPES - GILBERTO FREYRE(PE, BRASIL);SBGR;GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL);296;2,36;1,73;0,69
SBRF;GUARARAPES - GILBERTO FREYRE(PE, BRASIL);SBIL;BAHIA - JORGE AMADO(BA, BRASIL);2;50;0;0
SBRF;GUARARAPES - GILBERTO FREYRE(PE, BRASIL);SBJP;PRESIDENTE CASTRO PINTO(PB, BRASIL);99;1,01;7,14;4,08
SBRF;GUARARAPES - GILBERTO FREYRE(PE, BRASIL);SBJU;ORLANDO BEZERRA DE MENEZES(CE, BRASIL);25;0;0;0
SBRF;GUARARAPES - GILBERTO FREYRE(PE, BRASIL);SBKG;PRESIDENTE JOÃO SUASSUNA(PB, BRASIL);30;0;3,33;3,33
SBRF;GUARARAPES - GILBERTO FREYRE(PE, BRASIL);SBKP;VIRACOPOS(SP, BRASIL);114;0,88;3,54;0
SBRF;GUARARAPES - GILBERTO FREYRE(PE, BRASIL);SBMO;ZUMBI DOS PALMARES(AL, BRASIL);122;1,64;3,33;0,83
SBRF;GUARARAPES - GILBERTO FREYRE(PE, BRASIL);SBMS;DIX-SEPT ROSADO(RN, BRASIL);12;0;0;0
SBRF;GUARARAPES - GILBERTO FREYRE(PE, BRASIL);SBPL;SENADOR NILO COELHO(PE, BRASIL);28;0;0;0
SBRF;GUARARAPES - GILBERTO FREYRE(PE, BRASIL);SBRJ;SANTOS DUMONT(RJ, BRASIL);90;0;1,11;1,11
SBRF;GUARARAPES - GILBERTO FREYRE(PE, BRASIL);SBSG;GOVERNADOR ALUIZIO ALVES(RN, BRASIL);123;0;3,25;1,63
SBRF;GUARARAPES - GILBERTO FREYRE(PE, BRASIL);SBSL;MARECHAL CUNHA MACHADO(MA, BRASIL);25;0;0;0
SBRF;GUARARAPES - GILBERTO FREYRE(PE, BRASIL);SBSP;CONGONHAS(SP, BRASIL);108;0,93;0;0
SBRF;GUARARAPES - GILBERTO FREYRE(PE, BRASIL);SBSV;DEPUTADO LUÍS EDUARDO MAGALHÃES(BA, BRASIL);89;3,37;3,49;1,16
SBRF;GUARARAPES - GILBERTO FREYRE(PE, BRASIL);SBTE;SENADOR PETRÔNIO PORTELLA(PI, BRASIL);29;0;3,45;0
SBRF;GUARARAPES - GILBERTO FREYRE(PE, BRASIL);SNHS;SANTA MAGALHÃES(PE, BRASIL);26;0;7,69;3,85
SBRF;GUARARAPES - GILBERTO FREYRE(PE, BRASIL);SNRU;OSCAR LARANJEIRAS(PE, BRASIL);21;0;0;0
SBRJ;SANTOS DUMONT(RJ, BRASIL);SBBR;PRESIDENTE JUSCELINO KUBITSCHEK(DF, BRASIL);167;0;0,6;0
SBRJ;SANTOS DUMONT(RJ, BRASIL);SBCF;TANCREDO NEVES(MG, BRASIL);152;3,95;2,05;0,68
SBRJ;SANTOS DUMONT(RJ, BRASIL);SBCT;AFONSO PENA(PR, BRASIL);50;2;4,08;0
SBRJ;SANTOS DUMONT(RJ, BRASIL);SBFL;HERCÍLIO LUZ(SC, BRASIL);14;0;0;0
SBRJ;SANTOS DUMONT(RJ, BRASIL);SBGR;GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL);189;1,59;0,54;0
SBRJ;SANTOS DUMONT(RJ, BRASIL);SBKP;VIRACOPOS(SP, BRASIL);178;1,12;2,27;0,57
SBRJ;SANTOS DUMONT(RJ, BRASIL);SBPA;SALGADO FILHO(RS, BRASIL);49;2,04;4,17;2,08
SBRJ;SANTOS DUMONT(RJ, BRASIL);SBPS;PORTO SEGURO(BA, BRASIL);4;0;0;0
SBRJ;SANTOS DUMONT(RJ, BRASIL);SBRF;GUARARAPES - GILBERTO FREYRE(PE, BRASIL);90;0;1,11;1,11
SBRJ;SANTOS DUMONT(RJ, BRASIL);SBRP;LEITE LOPES(SP, BRASIL);18;0;5,56;5,56
SBRJ;SANTOS DUMONT(RJ, BRASIL);SBSP;CONGONHAS(SP, BRASIL);365;6,3;0,88;0
SBRJ;SANTOS DUMONT(RJ, BRASIL);SBSV;DEPUTADO LUÍS EDUARDO MAGALHÃES(BA, BRASIL);38;2,63;0;0
SBRJ;SANTOS DUMONT(RJ, BRASIL);SBVT;EURICO DE AGUIAR SALLES(ES, BRASIL);37;0;0;0
SBRP;LEITE LOPES(SP, BRASIL);SBBR;PRESIDENTE JUSCELINO KUBITSCHEK(DF, BRASIL);1;0;0;0
SBRP;LEITE LOPES(SP, BRASIL);SBGO;SANTA GENOVEVA/GOIÂNIA(GO, BRASIL);14;0;7,14;0
SBRP;LEITE LOPES(SP, BRASIL);SBGR;GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL);1;0;0;0
SBRP;LEITE LOPES(SP, BRASIL);SBKP;VIRACOPOS(SP, BRASIL);82;1,22;0;0
SBRP;LEITE LOPES(SP, BRASIL);SBRJ;SANTOS DUMONT(RJ, BRASIL);18;0;11,11;5,56
SBRP;LEITE LOPES(SP, BRASIL);SBSP;CONGONHAS(SP, BRASIL);47;2,13;4,35;4,35
SBSG;GOVERNADOR ALUIZIO ALVES(RN, BRASIL);SBBR;PRESIDENTE JUSCELINO KUBITSCHEK(DF, BRASIL);27;0;0;0
SBSG;GOVERNADOR ALUIZIO ALVES(RN, BRASIL);SBCF;TANCREDO NEVES(MG, BRASIL);3;0;0;0
SBSG;GOVERNADOR ALUIZIO ALVES(RN, BRASIL);SBGL;AEROPORTO INTERNACIONAL DO RIO DE JANEIRO (GALEÃO) - ANTONIO CARLOS JOBIM(RJ, BRASIL);13;7,69;0;0
SBSG;GOVERNADOR ALUIZIO ALVES(RN, BRASIL);SBGR;GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL);121;0;0,83;0
SBSG;GOVERNADOR ALUIZIO ALVES(RN, BRASIL);SBKP;VIRACOPOS(SP, BRASIL);13;0;0;0
SBSG;GOVERNADOR ALUIZIO ALVES(RN, BRASIL);SBRF;GUARARAPES - GILBERTO FREYRE(PE, BRASIL);123;0;2,44;0,81
SBSI;PRESIDENTE JOÃO BATISTA FIGUEIREDO(MT, BRASIL);SBCY;MARECHAL RONDON(MT, BRASIL);22;4,55;0;0
SBSL;MARECHAL CUNHA MACHADO(MA, BRASIL);SBBR;PRESIDENTE JUSCELINO KUBITSCHEK(DF, BRASIL);41;0;4,88;2,44
SBSL;MARECHAL CUNHA MACHADO(MA, BRASIL);SBCF;TANCREDO NEVES(MG, BRASIL);42;0;4,76;2,38
SBSL;MARECHAL CUNHA MACHADO(MA, BRASIL);SBFZ;PINTO MARTINS(CE, BRASIL);16;0;0;0
SBSL;MARECHAL CUNHA MACHADO(MA, BRASIL);SBGR;GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL);21;0;0;0
SBSL;MARECHAL CUNHA MACHADO(MA, BRASIL);SBIZ;PREFEITO RENATO MOREIRA(MA, BRASIL);12;0;0;0
SBSL;MARECHAL CUNHA MACHADO(MA, BRASIL);SBRF;GUARARAPES - GILBERTO FREYRE(PE, BRASIL);25;0;0;0
SBSM;SANTA MARIA(RS, BRASIL);SBPA;SALGADO FILHO(RS, BRASIL);23;0;0;0
SBSN;MAESTRO WILSON FONSECA(PA, BRASIL);SBBE;INTERNACIONAL DE BELÉM/VAL DE CANS/JÚLIO CEZAR RIBEIRO(PA, BRASIL);46;2,17;11,11;4,44
SBSN;MAESTRO WILSON FONSECA(PA, BRASIL);SBBR;PRESIDENTE JUSCELINO KUBITSCHEK(DF, BRASIL);13;0;0;0
SBSN;MAESTRO WILSON FONSECA(PA, BRASIL);SBEG;EDUARDO GOMES(AM, BRASIL);16;0;12,5;0
SBSP;CONGONHAS(SP, BRASIL);SBBR;PRESIDENTE JUSCELINO KUBITSCHEK(DF, BRASIL);138;5,07;0;0
SBSP;CONGONHAS(SP, BRASIL);SBCF;TANCREDO NEVES(MG, BRASIL);156;1,28;0;0
SBSP;CONGONHAS(SP, BRASIL);SBCH;SERAFIN ENOSS BERTASO(SC, BRASIL);13;0;0;0
SBSP;CONGONHAS(SP, BRASIL);SBCT;AFONSO PENA(PR, BRASIL);50;4;0;0
SBSP;CONGONHAS(SP, BRASIL);SBCY;MARECHAL RONDON(MT, BRASIL);6;0;0;0
SBSP;CONGONHAS(SP, BRASIL);SBFI;CATARATAS(PR, BRASIL);1;0;0;0
SBSP;CONGONHAS(SP, BRASIL);SBFL;HERCÍLIO LUZ(SC, BRASIL);30;0;0;0
SBSP;CONGONHAS(SP, BRASIL);SBFZ;PINTO MARTINS(CE, BRASIL);3;0;0;0
SBSP;CONGONHAS(SP, BRASIL);SBGO;SANTA GENOVEVA/GOIÂNIA(GO, BRASIL);8;0;0;0
SBSP;CONGONHAS(SP, BRASIL);SBIL;BAHIA - JORGE AMADO(BA, BRASIL);16;0;0;0
SBSP;CONGONHAS(SP, BRASIL);SBJA;REGIONAL SUL(SC, BRASIL);12;0;0;0
SBSP;CONGONHAS(SP, BRASIL);SBJV;LAURO CARNEIRO DE LOYOLA(SC, BRASIL);13;0;0;0
SBSP;CONGONHAS(SP, BRASIL);SBNF;MINISTRO VICTOR KONDER(SC, BRASIL);9;0;0;0
SBSP;CONGONHAS(SP, BRASIL);SBPA;SALGADO FILHO(RS, BRASIL);93;8,6;0;0
SBSP;CONGONHAS(SP, BRASIL);SBPS;PORTO SEGURO(BA, BRASIL);9;0;0;0
SBSP;CONGONHAS(SP, BRASIL);SBRF;GUARARAPES - GILBERTO FREYRE(PE, BRASIL);107;0;0,93;0
SBSP;CONGONHAS(SP, BRASIL);SBRJ;SANTOS DUMONT(RJ, BRASIL);367;6,81;0,29;0,29
SBSP;CONGONHAS(SP, BRASIL);SBRP;LEITE LOPES(SP, BRASIL);47;2,13;4,35;4,35
SBSP;CONGONHAS(SP, BRASIL);SBSR;PROFESSOR ERIBERTO MANOEL REINO(SP, BRASIL);2;0;0;0
SBSP;CONGONHAS(SP, BRASIL);SBSV;DEPUTADO LUÍS EDUARDO MAGALHÃES(BA, BRASIL);111;3,6;1,87;0
SBSP;CONGONHAS(SP, BRASIL);SBVT;EURICO DE AGUIAR SALLES(ES, BRASIL);11;0;0;0
SBSR;PROFESSOR ERIBERTO MANOEL REINO(SP, BRASIL);SBBR;PRESIDENTE JUSCELINO KUBITSCHEK(DF, BRASIL);17;0;0;0
SBSR;PROFESSOR ERIBERTO MANOEL REINO(SP, BRASIL);SBGR;GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL);15;0;6,67;0
SBSR;PROFESSOR ERIBERTO MANOEL REINO(SP, BRASIL);SBKP;VIRACOPOS(SP, BRASIL);85;0;1,18;0
SBSR;PROFESSOR ERIBERTO MANOEL REINO(SP, BRASIL);SBSP;CONGONHAS(SP, BRASIL);2;0;0;0
SBSV;DEPUTADO LUÍS EDUARDO MAGALHÃES(BA, BRASIL);LPPT;LISBOA(, PORTUGAL);6;33,33;0;0
SBSV;DEPUTADO LUÍS EDUARDO MAGALHÃES(BA, BRASIL);SBBR;PRESIDENTE JUSCELINO KUBITSCHEK(DF, BRASIL);69;1,45;0;0
SBSV;DEPUTADO LUÍS EDUARDO MAGALHÃES(BA, BRASIL);SBCF;TANCREDO NEVES(MG, BRASIL);105;0,95;2,88;0,96
SBSV;DEPUTADO LUÍS EDUARDO MAGALHÃES(BA, BRASIL);SBFZ;PINTO MARTINS(CE, BRASIL);15;13,33;7,69;7,69
SBSV;DEPUTADO LUÍS EDUARDO MAGALHÃES(BA, BRASIL);SBGL;AEROPORTO INTERNACIONAL DO RIO DE JANEIRO (GALEÃO) - ANTONIO CARLOS JOBIM(RJ, BRASIL);21;4,76;10;10
SBSV;DEPUTADO LUÍS EDUARDO MAGALHÃES(BA, BRASIL);SBGR;GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL);153;1,96;3,33;2
SBSV;DEPUTADO LUÍS EDUARDO MAGALHÃES(BA, BRASIL);SBIL;BAHIA - JORGE AMADO(BA, BRASIL);13;7,69;8,33;0
SBSV;DEPUTADO LUÍS EDUARDO MAGALHÃES(BA, BRASIL);SBKP;VIRACOPOS(SP, BRASIL);111;0,9;4,55;3,64
SBSV;DEPUTADO LUÍS EDUARDO MAGALHÃES(BA, BRASIL);SBMO;ZUMBI DOS PALMARES(AL, BRASIL);16;18,75;0;0
SBSV;DEPUTADO LUÍS EDUARDO MAGALHÃES(BA, BRASIL);SBPS;PORTO SEGURO(BA, BRASIL);68;4,41;4,62;4,62
SBSV;DEPUTADO LUÍS EDUARDO MAGALHÃES(BA, BRASIL);SBRF;GUARARAPES - GILBERTO FREYRE(PE, BRASIL);90;6,67;3,57;2,38
SBSV;DEPUTADO LUÍS EDUARDO MAGALHÃES(BA, BRASIL);SBRJ;SANTOS DUMONT(RJ, BRASIL);38;2,63;5,41;2,7
SBSV;DEPUTADO LUÍS EDUARDO MAGALHÃES(BA, BRASIL);SBSP;CONGONHAS(SP, BRASIL);109;3,67;0;0
SBSV;DEPUTADO LUÍS EDUARDO MAGALHÃES(BA, BRASIL);SBVC;GLAUBER DE ANDRADE ROCHA(BA, BRASIL);2;100;0;0
SBSV;DEPUTADO LUÍS EDUARDO MAGALHÃES(BA, BRASIL);SCEL;COMODORO ARTURO MERINO BENÍTEZ INTERNATIONAL AIRPORT(, CHILE);8;100;0;0
SBSV;DEPUTADO LUÍS EDUARDO MAGALHÃES(BA, BRASIL);SNBR;BARREIRAS(BA, BRASIL);2;0;50;0
SBTE;SENADOR PETRÔNIO PORTELLA(PI, BRASIL);SBBR;PRESIDENTE JUSCELINO KUBITSCHEK(DF, BRASIL);38;0;2,63;0
SBTE;SENADOR PETRÔNIO PORTELLA(PI, BRASIL);SBGR;GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL);18;0;0;0
SBTE;SENADOR PETRÔNIO PORTELLA(PI, BRASIL);SBKP;VIRACOPOS(SP, BRASIL);49;0;2,04;0
SBTE;SENADOR PETRÔNIO PORTELLA(PI, BRASIL);SBPB;AEROPORTO INTERNACIONAL DE PARNAÍBA / PREFEITO DOUTOR JOÃO SILVA FILHO(PI, BRASIL);4;0;0;0
SBTE;SENADOR PETRÔNIO PORTELLA(PI, BRASIL);SBRF;GUARARAPES - GILBERTO FREYRE(PE, BRASIL);29;0;0;0
SBTF;TEFÉ(AM, BRASIL);SBEG;EDUARDO GOMES(AM, BRASIL);22;9,09;15;10
SBTF;TEFÉ(AM, BRASIL);SBTT;TABATINGA(AM, BRASIL);7;0;0;0
SBTF;TEFÉ(AM, BRASIL);SWEI;EIRUNEPÉ(AM, BRASIL);10;30;14,29;14,29
SBTG;TRÊS LAGOAS(MS, BRASIL);SBKP;VIRACOPOS(SP, BRASIL);13;0;0;0
SBTT;TABATINGA(AM, BRASIL);SBEG;EDUARDO GOMES(AM, BRASIL);28;7,14;3,85;0
SBUA;SÃO GABRIEL DA CACHOEIRA(AM, BRASIL);SBEG;EDUARDO GOMES(AM, BRASIL);14;28,57;40;20
SBUG;RUBEM BERTA(RS, BRASIL);SBNM;SANTO ÂNGELO(RS, BRASIL);20;0;5;5
SBUG;RUBEM BERTA(RS, BRASIL);SBPA;SALGADO FILHO(RS, BRASIL);1;0;0;0
SBUL;TEN CEL AVIADOR CÉSAR BOMBONATO(MG, BRASIL);SBBR;PRESIDENTE JUSCELINO KUBITSCHEK(DF, BRASIL);19;5,26;0;0
SBUL;TEN CEL AVIADOR CÉSAR BOMBONATO(MG, BRASIL);SBCF;TANCREDO NEVES(MG, BRASIL);61;1,64;5;1,67
SBUL;TEN CEL AVIADOR CÉSAR BOMBONATO(MG, BRASIL);SBGR;GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL);30;0;0;0
SBUL;TEN CEL AVIADOR CÉSAR BOMBONATO(MG, BRASIL);SBKP;VIRACOPOS(SP, BRASIL);88;0;3,41;2,27
SBUR;MÁRIO DE ALMEIDA FRANCO(MG, BRASIL);SBCF;TANCREDO NEVES(MG, BRASIL);23;0;4,35;0
SBVC;GLAUBER DE ANDRADE ROCHA(BA, BRASIL);SBCF;TANCREDO NEVES(MG, BRASIL);30;0;3,33;3,33
SBVC;GLAUBER DE ANDRADE ROCHA(BA, BRASIL);SBGR;GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL);23;0;0;0
SBVC;GLAUBER DE ANDRADE ROCHA(BA, BRASIL);SBSV;DEPUTADO LUÍS EDUARDO MAGALHÃES(BA, BRASIL);2;100;0;0
SBVT;EURICO DE AGUIAR SALLES(ES, BRASIL);SBBR;PRESIDENTE JUSCELINO KUBITSCHEK(DF, BRASIL);13;0;7,69;0
SBVT;EURICO DE AGUIAR SALLES(ES, BRASIL);SBCF;TANCREDO NEVES(MG, BRASIL);96;0;2,08;1,04
SBVT;EURICO DE AGUIAR SALLES(ES, BRASIL);SBGR;GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL);102;0,98;0,99;0,99
SBVT;EURICO DE AGUIAR SALLES(ES, BRASIL);SBKP;VIRACOPOS(SP, BRASIL);91;0;1,1;1,1
SBVT;EURICO DE AGUIAR SALLES(ES, BRASIL);SBRJ;SANTOS DUMONT(RJ, BRASIL);37;0;2,7;2,7
SBVT;EURICO DE AGUIAR SALLES(ES, BRASIL);SBSP;CONGONHAS(SP, BRASIL);11;0;0;0
SBZM;REGIONAL DA ZONA DA MATA(MG, BRASIL);SBGR;GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL);2;0;0;0
SBZM;REGIONAL DA ZONA DA MATA(MG, BRASIL);SBKP;VIRACOPOS(SP, BRASIL);20;0;5;5
SCEL;COMODORO ARTURO MERINO BENÍTEZ INTERNATIONAL AIRPORT(, CHILE);SBFI;CATARATAS(PR, BRASIL);9;100;0;0
SCEL;COMODORO ARTURO MERINO BENÍTEZ INTERNATIONAL AIRPORT(, CHILE);SBGR;GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL);16;6,25;6,67;6,67
SCEL;COMODORO ARTURO MERINO BENÍTEZ INTERNATIONAL AIRPORT(, CHILE);SBSV;DEPUTADO LUÍS EDUARDO MAGALHÃES(BA, BRASIL);8;100;0;0
SDSC;MÁRIO PEREIRA LOPES(SP, BRASIL);SKBO;EL DORADO INTERNATIONAL AIRPORT(, COLÔMBIA);1;100;0;0
SGAS;SILVIO PETTIROSSI INTERNATIONAL AIRPORT(, PARAGUAI);SBGR;GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL);14;0;0;0
SKBO;EL DORADO INTERNATIONAL AIRPORT(, COLÔMBIA);SBGR;GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL);1;0;0;0
SLVR;VIRU VIRU INTERNATIONAL AIRPORT(, BOLÍVIA);SBGR;GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL);21;9,52;10,53;0
SNBR;BARREIRAS(BA, BRASIL);SBBR;PRESIDENTE JUSCELINO KUBITSCHEK(DF, BRASIL);9;0;11,11;0
SNBR;BARREIRAS(BA, BRASIL);SBCF;TANCREDO NEVES(MG, BRASIL);16;6,25;0;0
SNBR;BARREIRAS(BA, BRASIL);SBSV;DEPUTADO LUÍS EDUARDO MAGALHÃES(BA, BRASIL);2;0;0;0
SNHS;SANTA MAGALHÃES(PE, BRASIL);SBRF;GUARARAPES - GILBERTO FREYRE(PE, BRASIL);26;0;11,54;3,85
SNRU;OSCAR LARANJEIRAS(PE, BRASIL);SBRF;GUARARAPES - GILBERTO FREYRE(PE, BRASIL);21;0;0;0
SNTF;TEIXEIRA DE FREITAS(BA, BRASIL);SBCF;TANCREDO NEVES(MG, BRASIL);15;0;0;0
SNVS;BREVES(PA, BRASIL);SBBE;INTERNACIONAL DE BELÉM/VAL DE CANS/JÚLIO CEZAR RIBEIRO(PA, BRASIL);21;23,81;12,5;6,25
SNYA;ALMEIRIM(PA, BRASIL);SBBE;INTERNACIONAL DE BELÉM/VAL DE CANS/JÚLIO CEZAR RIBEIRO(PA, BRASIL);12;16,67;10;10
SPJC;JORGE CHÁVEZ INTERNATIONAL AIRPORT(, PERU);SBGR;GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL);3;100;0;0
SUMU;CARRASCO GRAL. CESÁREO L. BERISSO INTERNATIONAL AIRPORT(, URUGUAI);SBGR;GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL);10;0;0;0
SWCA;CARAUARI(AM, BRASIL);SBEG;EDUARDO GOMES(AM, BRASIL);8;0;25;25
SWCA;CARAUARI(AM, BRASIL);SWKO;COARI(AM, BRASIL);4;50;50;50
SWEI;EIRUNEPÉ(AM, BRASIL);SBEG;EDUARDO GOMES(AM, BRASIL);2;100;0;0
SWEI;EIRUNEPÉ(AM, BRASIL);SBTF;TEFÉ(AM, BRASIL);12;16,67;100;20
SWGN;ARAGUAÍNA(TO, BRASIL);SBBR;PRESIDENTE JUSCELINO KUBITSCHEK(DF, BRASIL);8;0;0;0
SWHP;OLHOS D´ÁGUA(MT, BRASIL);SBCY;MARECHAL RONDON(MT, BRASIL);13;0;15,38;0
SWHP;OLHOS D´ÁGUA(MT, BRASIL);SWFX;SÃO FÉLIX DO ARAGUAIA(MT, BRASIL);10;50;0;0
SWJN;JUÍNA(MT, BRASIL);SBCY;MARECHAL RONDON(MT, BRASIL);5;0;0;0
SWJN;JUÍNA(MT, BRASIL);SWTS;TANGARÁ DA SERRA(MT, BRASIL);10;20;0;0
SWKO;COARI(AM, BRASIL);SBEG;EDUARDO GOMES(AM, BRASIL);9;44,44;60;40
SWKO;COARI(AM, BRASIL);SWLB;LÁBREA(AM, BRASIL);5;40;33,33;33,33
SWLB;LÁBREA(AM, BRASIL);SWKO;COARI(AM, BRASIL);5;40;33,33;33,33
SWLC;GENERAL LEITE DE CASTRO(GO, BRASIL);SBKP;VIRACOPOS(SP, BRASIL);10;0;0;0
SWPI;JÚLIO BÉLEM(AM, BRASIL);SBEG;EDUARDO GOMES(AM, BRASIL);23;17,39;26,32;10,53
SWPI;JÚLIO BÉLEM(AM, BRASIL);SBIH;ITAITUBA(PA, BRASIL);7;28,57;0;0
SWTS;TANGARÁ DA SERRA(MT, BRASIL);SBCY;MARECHAL RONDON(MT, BRASIL);21;33,33;28,57;0
TJBQ;RAFAEL HERNÁNDEZ AIRPORT(, PORTO RICO);KMEM;MEMPHIS INTERNATIONAL AIRPORT(, ESTADOS UNIDOS DA AMÉRICA);9;0;0;0
TJBQ;RAFAEL HERNÁNDEZ AIRPORT(, PORTO RICO);SBKP;VIRACOPOS(SP, BRASIL);4;0;25;25
